"id","average_wage","industry","average_price","category","year"
74,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",166.34,Hovězí maso zadní bez kosti,2006
75,20030,Vzdělávání,166.34,Hovězí maso zadní bez kosti,2006
76,18740,Zásobování vodou; činnosti související s odpady a sanacemi,166.34,Hovězí maso zadní bez kosti,2006
77,19042,Zdravotní a sociální péče,166.34,Hovězí maso zadní bez kosti,2006
78,14818,"Zemědělství, lesnictví, rybářství",166.34,Hovězí maso zadní bez kosti,2006
79,18482,Zpracovatelský průmysl,166.34,Hovězí maso zadní bez kosti,2006
80,19536,,166.34,Hovězí maso zadní bez kosti,2006
81,14444,Administrativní a podpůrné činnosti,16.12,Chléb konzumní kmínový,2006
82,19242,Činnosti v oblasti nemovitostí,16.12,Chléb konzumní kmínový,2006
83,19257,Doprava a skladování,16.12,Chléb konzumní kmínový,2006
84,35793,Informační a komunikační činnosti,16.12,Chléb konzumní kmínový,2006
85,16827,"Kulturní, zábavní a rekreační činnosti",16.12,Chléb konzumní kmínový,2006
86,16484,Ostatní činnosti,16.12,Chléb konzumní kmínový,2006
87,40027,Peněžnictví a pojišťovnictví,16.12,Chléb konzumní kmínový,2006
88,24645,"Profesní, vědecké a technické činnosti",16.12,Chléb konzumní kmínový,2006
89,17850,Stavebnictví,16.12,Chléb konzumní kmínový,2006
90,24067,Těžba a dobývání,16.12,Chléb konzumní kmínový,2006
91,11674,"Ubytování, stravování a pohostinství",16.12,Chléb konzumní kmínový,2006
92,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,16.12,Chléb konzumní kmínový,2006
93,23285,Veřejná správa a obrana; povinné sociální zabezpečení,16.12,Chléb konzumní kmínový,2006
94,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",16.12,Chléb konzumní kmínový,2006
95,20030,Vzdělávání,16.12,Chléb konzumní kmínový,2006
96,18740,Zásobování vodou; činnosti související s odpady a sanacemi,16.12,Chléb konzumní kmínový,2006
97,19042,Zdravotní a sociální péče,16.12,Chléb konzumní kmínový,2006
98,14818,"Zemědělství, lesnictví, rybářství",16.12,Chléb konzumní kmínový,2006
99,18482,Zpracovatelský průmysl,16.12,Chléb konzumní kmínový,2006
100,19536,,16.12,Chléb konzumní kmínový,2006
101,14444,Administrativní a podpůrné činnosti,30.71,Jablka konzumní,2006
102,19242,Činnosti v oblasti nemovitostí,30.71,Jablka konzumní,2006
103,19257,Doprava a skladování,30.71,Jablka konzumní,2006
104,35793,Informační a komunikační činnosti,30.71,Jablka konzumní,2006
105,16827,"Kulturní, zábavní a rekreační činnosti",30.71,Jablka konzumní,2006
106,16484,Ostatní činnosti,30.71,Jablka konzumní,2006
107,40027,Peněžnictví a pojišťovnictví,30.71,Jablka konzumní,2006
108,24645,"Profesní, vědecké a technické činnosti",30.71,Jablka konzumní,2006
109,17850,Stavebnictví,30.71,Jablka konzumní,2006
110,24067,Těžba a dobývání,30.71,Jablka konzumní,2006
111,11674,"Ubytování, stravování a pohostinství",30.71,Jablka konzumní,2006
112,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,30.71,Jablka konzumní,2006
113,23285,Veřejná správa a obrana; povinné sociální zabezpečení,30.71,Jablka konzumní,2006
114,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",30.71,Jablka konzumní,2006
115,20030,Vzdělávání,30.71,Jablka konzumní,2006
116,18740,Zásobování vodou; činnosti související s odpady a sanacemi,30.71,Jablka konzumní,2006
117,19042,Zdravotní a sociální péče,30.71,Jablka konzumní,2006
118,14818,"Zemědělství, lesnictví, rybářství",30.71,Jablka konzumní,2006
119,18482,Zpracovatelský průmysl,30.71,Jablka konzumní,2006
120,19536,,30.71,Jablka konzumní,2006
121,14444,Administrativní a podpůrné činnosti,5.83,Jogurt bílý netučný,2006
122,19242,Činnosti v oblasti nemovitostí,5.83,Jogurt bílý netučný,2006
123,19257,Doprava a skladování,5.83,Jogurt bílý netučný,2006
124,35793,Informační a komunikační činnosti,5.83,Jogurt bílý netučný,2006
125,16827,"Kulturní, zábavní a rekreační činnosti",5.83,Jogurt bílý netučný,2006
126,16484,Ostatní činnosti,5.83,Jogurt bílý netučný,2006
127,40027,Peněžnictví a pojišťovnictví,5.83,Jogurt bílý netučný,2006
128,24645,"Profesní, vědecké a technické činnosti",5.83,Jogurt bílý netučný,2006
129,17850,Stavebnictví,5.83,Jogurt bílý netučný,2006
130,24067,Těžba a dobývání,5.83,Jogurt bílý netučný,2006
131,11674,"Ubytování, stravování a pohostinství",5.83,Jogurt bílý netučný,2006
132,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,5.83,Jogurt bílý netučný,2006
133,23285,Veřejná správa a obrana; povinné sociální zabezpečení,5.83,Jogurt bílý netučný,2006
134,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",5.83,Jogurt bílý netučný,2006
135,20030,Vzdělávání,5.83,Jogurt bílý netučný,2006
136,18740,Zásobování vodou; činnosti související s odpady a sanacemi,5.83,Jogurt bílý netučný,2006
137,19042,Zdravotní a sociální péče,5.83,Jogurt bílý netučný,2006
138,14818,"Zemědělství, lesnictví, rybářství",5.83,Jogurt bílý netučný,2006
139,18482,Zpracovatelský průmysl,5.83,Jogurt bílý netučný,2006
140,19536,,5.83,Jogurt bílý netučný,2006
141,14444,Administrativní a podpůrné činnosti,69.35,Kapr živý,2006
142,19242,Činnosti v oblasti nemovitostí,69.35,Kapr živý,2006
143,19257,Doprava a skladování,69.35,Kapr živý,2006
144,35793,Informační a komunikační činnosti,69.35,Kapr živý,2006
145,16827,"Kulturní, zábavní a rekreační činnosti",69.35,Kapr živý,2006
146,16484,Ostatní činnosti,69.35,Kapr živý,2006
147,40027,Peněžnictví a pojišťovnictví,69.35,Kapr živý,2006
148,24645,"Profesní, vědecké a technické činnosti",69.35,Kapr živý,2006
149,17850,Stavebnictví,69.35,Kapr živý,2006
150,24067,Těžba a dobývání,69.35,Kapr živý,2006
151,11674,"Ubytování, stravování a pohostinství",69.35,Kapr živý,2006
152,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,69.35,Kapr živý,2006
153,23285,Veřejná správa a obrana; povinné sociální zabezpečení,69.35,Kapr živý,2006
154,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",69.35,Kapr živý,2006
155,20030,Vzdělávání,69.35,Kapr živý,2006
156,18740,Zásobování vodou; činnosti související s odpady a sanacemi,69.35,Kapr živý,2006
157,19042,Zdravotní a sociální péče,69.35,Kapr živý,2006
158,14818,"Zemědělství, lesnictví, rybářství",69.35,Kapr živý,2006
159,18482,Zpracovatelský průmysl,69.35,Kapr živý,2006
160,19536,,69.35,Kapr živý,2006
161,14444,Administrativní a podpůrné činnosti,12.07,Konzumní brambory,2006
162,19242,Činnosti v oblasti nemovitostí,12.07,Konzumní brambory,2006
163,19257,Doprava a skladování,12.07,Konzumní brambory,2006
164,35793,Informační a komunikační činnosti,12.07,Konzumní brambory,2006
165,16827,"Kulturní, zábavní a rekreační činnosti",12.07,Konzumní brambory,2006
166,16484,Ostatní činnosti,12.07,Konzumní brambory,2006
167,40027,Peněžnictví a pojišťovnictví,12.07,Konzumní brambory,2006
168,24645,"Profesní, vědecké a technické činnosti",12.07,Konzumní brambory,2006
169,17850,Stavebnictví,12.07,Konzumní brambory,2006
170,24067,Těžba a dobývání,12.07,Konzumní brambory,2006
171,11674,"Ubytování, stravování a pohostinství",12.07,Konzumní brambory,2006
172,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,12.07,Konzumní brambory,2006
173,23285,Veřejná správa a obrana; povinné sociální zabezpečení,12.07,Konzumní brambory,2006
174,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",12.07,Konzumní brambory,2006
175,20030,Vzdělávání,12.07,Konzumní brambory,2006
176,18740,Zásobování vodou; činnosti související s odpady a sanacemi,12.07,Konzumní brambory,2006
177,19042,Zdravotní a sociální péče,12.07,Konzumní brambory,2006
178,14818,"Zemědělství, lesnictví, rybářství",12.07,Konzumní brambory,2006
179,18482,Zpracovatelský průmysl,12.07,Konzumní brambory,2006
180,19536,,12.07,Konzumní brambory,2006
181,14444,Administrativní a podpůrné činnosti,47.47,Kuřata kuchaná celá,2006
182,19242,Činnosti v oblasti nemovitostí,47.47,Kuřata kuchaná celá,2006
183,19257,Doprava a skladování,47.47,Kuřata kuchaná celá,2006
184,35793,Informační a komunikační činnosti,47.47,Kuřata kuchaná celá,2006
